전략,코인 수,평균 일수,평균 수익률(%),중앙값 수익률(%),평균 MDD(%),중앙값 MDD(%),거래 합계,코인당 평균거래,승률(%)
Top-5 loser  (short),5,94.7,36.37,34.32,-27.15,-29.69,1020,204.0,60.0
Top-5 gainer (long),5,32.7,15.66,11.49,-20.31,-18.79,661,132.2,100.0
"합산 (10코인, 정반대)",10,63.7,26.02,18.34,-23.73,-22.13,1681,168.1,80.0
v2 final 양방향 (19코인),19,64.4,29.19,25.2,-23.78,-20.27,3073,161.7,84.2
