Strategy,coins,avg_days,ret_mean(%),ret_median(%),mdd_mean(%),mdd_median(%),trades_sum,Calmar,win_rate(%)
A) v2 baseline,19,64.5,29.69,27.14,-23.78,-20.27,3084,1.25,84.2
B) HYBRID (regime swap),19,64.5,-10.26,-9.8,-12.97,-11.13,3987,-0.79,10.5
