전략,코인,평균수익률(%),중앙값수익률(%),평균MDD(%),중앙값MDD(%),거래합계,Calmar,승률(%)
A) v2 baseline (calmar div),12,-1.78,0.85,-30.59,-15.25,411,-0.06,50.0
B) regime swap (4-way),12,-7.75,-4.22,-19.84,-10.88,603,-0.39,16.7
